2025-06-15 01:49:39.526 | INFO     | __main__:get_Z3_result:339 - Z3批量求解任务启动，待处理文件数: 449
2025-06-15 01:49:39.526 | INFO     | __main__:get_Z3_result:345 - 未求解文件数: 449
2025-06-15 01:49:39.532 | INFO     | __main__:process_z3_file:293 - [Worker] 开始处理: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/udhcpc/udhcpc6665859
2025-06-15 01:49:39.532 | INFO     | __main__:process_z3_file:293 - [Worker] 开始处理: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/udhcpc/udhcpc6667828
2025-06-15 01:49:39.532 | INFO     | __main__:process_z3_file:293 - [Worker] 开始处理: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/udhcpc/udhcpc6673731
2025-06-15 01:49:39.532 | INFO     | __main__:process_z3_file:293 - [Worker] 开始处理: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/lsmod/lsmod1457448
2025-06-15 01:49:39.532 | INFO     | __main__:process_z3_file:293 - [Worker] 开始处理: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/lsmod/lsmod1279453
2025-06-15 01:49:39.533 | INFO     | __main__:process_z3_file:293 - [Worker] 开始处理: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/lsmod/lsmod1210212
2025-06-15 01:49:39.533 | INFO     | __main__:process_z3_file:293 - [Worker] 开始处理: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/lsmod/lsmod1477234
2025-06-15 01:49:39.533 | INFO     | __main__:process_z3_file:293 - [Worker] 开始处理: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/lsmod/lsmod1511861
2025-06-15 01:52:48.148 | INFO     | __main__:process_z3_file:320 - [Worker] 完成: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/udhcpc/udhcpc6667828, 结果: sat, 用时: 188.59s
2025-06-15 01:52:48.151 | INFO     | __main__:process_z3_file:293 - [Worker] 开始处理: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/lsmod/lsmod1170660
2025-06-15 01:52:48.151 | INFO     | __main__:get_Z3_result:356 - 主进程收集结果: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/udhcpc/udhcpc6667828, 状态: sat
2025-06-15 01:53:12.684 | INFO     | __main__:process_z3_file:320 - [Worker] 完成: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/udhcpc/udhcpc6665859, 结果: sat, 用时: 213.13s
2025-06-15 01:53:12.685 | INFO     | __main__:process_z3_file:293 - [Worker] 开始处理: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/lsmod/lsmod1180553
2025-06-15 01:53:12.685 | INFO     | __main__:get_Z3_result:356 - 主进程收集结果: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/udhcpc/udhcpc6665859, 状态: sat
2025-06-15 02:05:46.853 | INFO     | __main__:process_z3_file:320 - [Worker] 完成: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/udhcpc/udhcpc6673731, 结果: sat, 用时: 967.30s
2025-06-15 02:05:46.854 | INFO     | __main__:process_z3_file:293 - [Worker] 开始处理: /home/nju/Downloads/smt/buzybox_angr.tar.gz/single_test/lsmod/lsmod1185504
